,type,id,properties.mag,properties.place,properties.time,properties.updated,properties.tz,properties.url,properties.detail,properties.felt,properties.cdi,properties.mmi,properties.alert,properties.status,properties.tsunami,properties.sig,properties.net,properties.code,properties.ids,properties.sources,properties.types,properties.nst,properties.dmin,properties.rms,properties.gap,properties.magType,properties.type,properties.title,geometry.type,geometry.coordinates
0,Feature,nn00886918,0.0,"51 km ESE of Beatty, Nevada",1730069681998,1730069792041,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886918,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00886918&format=geojson,,,,,automatic,0,0,nn,00886918,",nn00886918,",",nn,",",origin,phase-data,",8.0,0.065,0.0731,105.36000000000001,ml,earthquake,"M 0.0 - 51 km ESE of Beatty, Nevada",Point,"[-116.263, 36.6695, 5.2]"
1,Feature,ak024du619t1,1.6,"29 km NW of Susitna, Alaska",1730068166932,1730068312006,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024du619t1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024du619t1&format=geojson,,,,,automatic,0,39,ak,024du619t1,",ak024du619t1,",",ak,",",origin,phase-data,",,,0.78,,ml,earthquake,"M 1.6 - 29 km NW of Susitna, Alaska",Point,"[-150.8239, 61.7597, 49.3]"
2,Feature,hv74515602,2.26999998,"7 km SSE of Pāhala, Hawaii",1730067991680,1730068098440,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74515602,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74515602&format=geojson,,,,,automatic,0,79,hv,74515602,",hv74515602,",",hv,",",origin,phase-data,",51.0,0.01564,0.150000006,179.0,md,earthquake,"M 2.3 - 7 km SSE of Pāhala, Hawaii",Point,"[-155.464340209961, 19.1398334503174, 32.0400009155273]"
3,Feature,us7000nnix,4.9,"267 km E of Levuka, Fiji",1730066793387,1730067894040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000nnix,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000nnix&format=geojson,,,,,reviewed,0,369,us,7000nnix,",usauto7000nnix,us7000nnix,",",usauto,us,",",internal-moment-tensor,origin,phase-data,",96.0,2.74,0.87,55.0,mb,earthquake,"M 4.9 - 267 km E of Levuka, Fiji",Point,"[-178.1657, -17.8848, 621.325]"
4,Feature,nc75079886,0.38,"10 km NW of The Geysers, CA",1730066576490,1730067735493,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75079886,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75079886&format=geojson,,,,,automatic,0,2,nc,75079886,",nc75079886,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.01327,0.05,174.0,md,earthquake,"M 0.4 - 10 km NW of The Geysers, CA",Point,"[-122.863166809082, 38.8131675720215, 1.5900000333786]"
5,Feature,hv74515577,2.20000005,"5 km SSW of Pāhala, Hawaii",1730066092330,1730066192150,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74515577,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74515577&format=geojson,,,,,automatic,0,74,hv,74515577,",hv74515577,",",hv,",",origin,phase-data,",42.0,0.03078,0.150000006,189.0,md,earthquake,"M 2.2 - 5 km SSW of Pāhala, Hawaii",Point,"[-155.494338989258, 19.1598339080811, 32.9700012207031]"
6,Feature,ci40965872,0.67,"20 km ESE of Anza, CA",1730065049800,1730065530459,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40965872,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40965872&format=geojson,,,,,automatic,0,7,ci,40965872,",ci40965872,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",31.0,0.09888,0.13,62.0,ml,earthquake,"M 0.7 - 20 km ESE of Anza, CA",Point,"[-116.4776667, 33.469, 14.38]"
7,Feature,us7000nnit,4.7,"54 km NNE of Calama, Chile",1730063774227,1730064852040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000nnit,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000nnit&format=geojson,,,,,reviewed,0,340,us,7000nnit,",us7000nnit,",",us,",",origin,phase-data,",43.0,0.579,1.14,62.0,mb,earthquake,"M 4.7 - 54 km NNE of Calama, Chile",Point,"[-68.6679, -22.0233, 130.716]"
8,Feature,hv74515522,2.33999991,"13 km ESE of Pāhala, Hawaii",1730063288920,1730063381890,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74515522,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74515522&format=geojson,,,,,automatic,0,84,hv,74515522,",hv74515522,",",hv,",",origin,phase-data,",42.0,0.08998,0.119999997,220.0,md,earthquake,"M 2.3 - 13 km ESE of Pāhala, Hawaii",Point,"[-155.361328125, 19.1538333892822, 27.9200000762939]"
9,Feature,tx2024vdsn,2.1,"58 km S of Whites City, New Mexico",1730062851672,1730063899040,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024vdsn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024vdsn&format=geojson,,,,,automatic,0,68,tx,2024vdsn,",us7000nnip,tx2024vdsn,",",us,tx,",",origin,phase-data,",18.0,0.1,0.3,71.0,ml,earthquake,"M 2.1 - 58 km S of Whites City, New Mexico",Point,"[-104.369, 31.652, 4.3396]"
